layer,name,value,unit,source,page_or_url,status,rationale,source_line,source_sha256
no_comm_main,length_m,4,m,D:/matlab_huipu_2000/New_Vehicle_frc.m,D:/matlab_huipu_2000/New_Vehicle_frc.m:10,source_explicit_modified,Same explicit 4 m length for all agents; no branded identity.,10,e4329f4df810d7a697d7c8085d0b391aea7453537e1336a1184eb212fc6e1a4e
no_comm_main,width_m,1.8,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,wheelbase_m,2.7,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,cg_to_front_axle_m,1.35,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Symmetric generic geometry; CG equals geometric body center, not rear axle or SUMO front bumper.",,
no_comm_main,cg_to_rear_axle_m,1.35,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,front_overhang_m,0.65,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,rear_overhang_m,0.65,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,mass_kg,1500,kg,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,Assumed mass; neither MAT variable m nor fuel multiplier 1.2 determines mass.,,
no_comm_main,yaw_inertia_kgm2,2500,kg*m^2,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,front_cornering_stiffness_N_per_rad,80000,N/rad,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Entire front axle linear stiffness, not one tire; limited to small-slip regime in future model.",,
no_comm_main,rear_cornering_stiffness_N_per_rad,80000,N/rad,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Entire rear axle linear stiffness, not one tire; limited to small-slip regime in future model.",,
no_comm_main,road_friction_coefficient,0.9,1,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,gravity_mps2,9.81,m/s^2,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,Declared engineering approximation.,,
no_comm_main,acceleration_lag_s,0.2,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,steering_lag_s,0.15,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,max_steering_rate_radps,0.5,rad/s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,max_steering_rad,0.6981317007977318,rad,Cai2024,PDF p3 Table I,derived_from_paper,"40*pi/180; a physical bound, not an unrestricted high-speed command.",,
no_comm_main,min_accel_mps2,-10,m/s^2,Cai2024,PDF p3 Table I,paper_explicit,Hard development envelope; not evidence of available tire-limited braking in all states.,,
no_comm_main,max_accel_mps2,5,m/s^2,Cai2024,PDF p3 Table I,paper_explicit,"Hard paper envelope, separate from comfort.",,
no_comm_main,comfort_accel_mps2,2,m/s^2,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,comfort_braking_mps2,3,m/s^2,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,comfort_lateral_accel_mps2,2,m/s^2,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,comfort_jerk_mps3,2,m/s^3,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,low_speed_blend_start_mps,1,m/s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,low_speed_blend_end_mps,3,m/s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,dynamics_dt_s,0.01,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,Future continuous model integrator dt; not yet implemented.,,
no_comm_main,control_sync_dt_s,0.1,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,perception_dt_s,0.1,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,behavior_dt_s,0.5,s,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,front_range_m,200,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,rear_range_m,100,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,side_range_m,50,m,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,supplementary_assumption_unvalidated,"Explicit development value, not a claimed paper parameter or branded vehicle; validate and vary before scientific use.",,
no_comm_main,perception_mode,"""ideal_range_limited""",mode,User instruction 2026-09-10,docs/paper_alignment.md; research spec sections 6-7,research_requirement,Only exact current observations inside the finite ego-frame region; no non-ideal sensor implementation or experiments.,,
no_comm_main,perception_region,"""ego_aligned_rectangle_inclusive""",geometry,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,-rear_range_m <= relative_x <= front_range_m and abs(relative_y) <= side_range_m; no field-of-view angle or occlusion filter.,,
no_comm_main,sensor_delay_s,0,s,User instruction 2026-09-10,docs/paper_alignment.md; research spec sections 6-7,research_requirement,Measurement timestamp equals each perception update time. Sampling and actuator response remain modeled; no additional sensor delay.,,
no_comm_main,occlusion_enabled,false,bool,User instruction 2026-09-10,docs/paper_alignment.md; research spec sections 6-7,research_requirement,"Every in-range target is observed even if another vehicle is between ego and target; measurements are exact, with no noise, missed detections or sensor outages.",,
no_comm_main,nominal_reference_spacing_m,15,m,D:/matlab_huipu_2000/formationControl.m,D:/matlab_huipu_2000/formationControl.m:7,source_explicit_modified,d_ref; same-lane nominal reference spacing 2*d_ref; dynamic safety can enlarge or abandon.,7,deb43b436f5b48747c50370491cecfeac6cd9a82f88cf87a60f693cb4e8069e8
no_comm_main,static_map_enabled,false,bool,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,Lane drop must be observed locally; global road coordinate cannot be a controller trigger.,,
no_comm_main,communication_enabled,false,bool,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,"No V2V/V2I, global grouping or shared plans.",,
no_comm_main,formation_enabled,false,bool,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,Stage 0-1 only; no implemented controller or formation claim.,,
no_comm_main,energy_analysis_enabled,false,bool,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,"No energy comparison before dynamics, synchronization and units validation.",,
no_comm_main,candidate_emission_class,"""HBEFA3/PC_G_EU4""",SUMO class,SUMO HBEFA3 generic passenger gasoline Euro 4 category,https://sumo.dlr.de/docs/Models/Emissions/HBEFA-based.html,supplementary_model_choice_unvalidated,"Explicit candidate category, not a branded vehicle or calibration to the assumed mass; no energy output used this phase.",,
no_comm_main,legacy_vsp_enabled,false,bool,This study generic passenger-car development assumptions,docs/paper_alignment.md; research spec sections 6-7,research_requirement,Legacy formula units and normalization unresolved.,,
topology_smoke,car_follow_model,"""IDM""",model,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,lane_change_model,"""LC2013""",model,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,vehicle_class,"""passenger""",SUMO class,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,gui_shape,"""passenger""",category,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Rendering category only; no brand inference.,,
topology_smoke,collision_action,"""warn""",policy,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Retain diagnostics; any reported collision fails the smoke gate.,,
topology_smoke,collision_check_junctions,true,bool,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,seed,20260910,integer,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,demand_dt_s,0.1,s,D:/matlab_huipu_2000/mainmain.m,D:/matlab_huipu_2000/mainmain.m:101,source_explicit_modified,Bernoulli trial interval of the reference mechanism; exact q converted to probability.,101,9cea997d1df84aa6ad3d6b971b8232296f7043fd3e6d93460547909877857ef0
topology_smoke,demand_duration_s,600,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,New finite cohort horizon; source ran to 600 s but original warmup/drain protocol not established.,,
topology_smoke,smoke_demand_duration_s,60,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Only q=1250 first 60 s are simulated in smoke; other files are generated and checked only.,,
topology_smoke,smoke_end_s,240,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Maximum drain timeout; residual vehicles cause failure, not silent dropping.",,
topology_smoke,smoke_q_per_lane_hour,1250,veh/(lane*h),This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,hidden_noa_fraction,1,fraction,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Offline type labels for demand initialization, not neighbor observations; smoke vType is native_probe for every vehicle.",,
topology_smoke,departure_speed_mps,28.8,m/s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_boundary_condition,Constant attempted entry speed chosen equal to paper desired speed; paper does not specify the random insertion details.,,
topology_smoke,departure_position_m,4,m,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"SUMO front bumper position, so a 4 m car starts fully inside x>=0.",,
topology_smoke,sumo_dt_s,0.1,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,lanechange_duration_s,3,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Native continuous lane-change test option, not proof of steering/yaw dynamics.",,
topology_smoke,accel_mps2,2,m/s^2,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,decel_mps2,4.5,m/s^2,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,emergency_decel_mps2,10,m/s^2,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Never adopt source emergencyDecel=30 as a new physical capability.,,
topology_smoke,tau_s,1.2,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Native IDM desired time headway; not a sensor latency or a validated NOA safety parameter.,,
topology_smoke,min_gap_m,2.5,m,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,idm_delta,4,1,D:/matlab_huipu_2000/New_Vehicle_frc.m,D:/matlab_huipu_2000/New_Vehicle_frc.m:10,source_explicit_modified,"IDM acceleration exponent, not steering angle.",10,e4329f4df810d7a697d7c8085d0b391aea7453537e1336a1184eb212fc6e1a4e
topology_smoke,idm_stepping_s,0.1,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,speed_factor,1,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,speed_deviation,0,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,lc_strategic,1,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Allow native mandatory merging in road test.,,
topology_smoke,lc_cooperative,1,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,lc_speed_gain,0,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,lc_keep_right,0,1,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,probe_time_s,62,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,probe_position_m,850,m,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Separate termination-lane topology probe; excluded from unified entrance demand counts.,,
topology_smoke,probe_speed_mps,15,m/s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Deliberate low-speed topology probe only; not 2022 paper desired speed migration.,,
topology_smoke,path_continuity_tolerance_m,1e-06,m,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,"Only SUMO native road testing, not the NOA baseline or published behavior.",,
topology_smoke,max_lateral_step_m,0.2,m,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Smoke synchronization discontinuity detector at 0.1 s; not a physical steering test.,,
topology_smoke,max_depart_delay_s,-1,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,SUMO unlimited insertion wait; all pending and uncompleted vehicles remain accounted for.,,
topology_smoke,time_to_teleport_s,-1,s,This study topology test protocol,docs/phase01_implementation_plan.md,supplementary_topology_test_setting,Disable automatic jam teleport; report timeout/failure.,,
sensitivity,width_m,"[1.7, 1.8, 1.9]",m,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,mass_kg,"[1200, 1500, 1800]",kg,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,wheelbase_m,"[2.5, 2.7, 2.9]",m,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Keep total length 4 m; regenerate consistent CG/axle/overhang geometry.,,
sensitivity,axle_cornering_stiffness_N_per_rad,"[60000, 80000, 100000]",N/rad,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,yaw_inertia_kgm2,"[2000, 2500, 3000]",kg*m^2,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,road_friction_coefficient,"[0.6, 0.9]",1,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,dynamics_dt_s,"[0.01, 0.005]",s,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,control_sync_dt_s,"[0.1, 0.05]",s,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
sensitivity,perception_range_scale,"[0.5, 1, 1.5]",1,This study sensitivity candidates,docs/phase2_entry.md,proposed_not_run,Not an authorized batch run; validate low-dimensional cases after foundation gates.,,
phase2,low_speed_relaxation_s,0.1,s,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Relax lateral velocity and yaw rate to kinematic targets below the dynamic model blend speed.,,
phase2,actuator_jerk_limit_mps3,2,m/s^3,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Development actuator jerk bound equal to the previously registered comfort value; no emergency policy implemented.,,
phase2,steering_lateral_envelope_mps2,2,m/s^2,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Speed-dependent target steering envelope; tire force saturation independently enforces friction circle. Transient actual lateral acceleration is measured separately.,,
phase2,linear_tire_slip_limit_rad,0.1,rad,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Operational small-slip validity warning threshold; not a tire calibration.,,
phase2,max_dynamics_dt_s,0.02,s,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Reject excessively coarse RK4 calls; tested actual dt values are0.01/0.005.,,
phase2,tracking_kp_per_s2,0.6,1/s^2,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Single-vehicle bench lateral tracking gain; not a NOA decision rule.,,
phase2,tracking_kd_per_s,1.5,1/s,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,speed_tracking_gain_per_s,0.8,1/s,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,maneuver_duration_s,5,s,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Bench quintic reference duration only; may equal paper structure period numerically but does not redefine that period as an integration/control step.,,
phase2,max_lane_change_error_m,0.35,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,terminal_lane_error_m,0.1,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,integration_position_tolerance_m,0.02,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,integration_heading_tolerance_rad,0.002,rad,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,control_position_tolerance_m,0.15,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,control_heading_tolerance_rad,0.02,rad,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,sync_position_tolerance_m,1e-06,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,sync_speed_tolerance_mps,1e-06,m/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,sync_heading_tolerance_rad,1e-06,rad,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,replay_absolute_tolerance,1e-10,per-field SI,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,Declared numerical/model validation setting; not an identified Cai publication or branded vehicle parameter.,,
phase2,sweep_max_depth,12,integer,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,"Adaptive conservative swept-body check: unresolved leaf means potential collision/outside, never declared safe.",,
phase2,sumo_speed_mode,0,bitset,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,"External control bench; SUMO speed safety disabled, own continuous geometry audit remains required.",,
phase2,sumo_lane_change_mode,0,bitset,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Disable native autonomous lane changes; all lateral movement is integrated.,,
phase2,sumo_move_keep_route,3,bitset,This study phase 2 implementation,docs/phase2_model.md,supplementary_phase2_development_setting,Keep original route and exact XY instead of lane-center snapping; off-road faults are checked independently.,,
phase2,analytic_position_tolerance_m,1e-07,m,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,analytic_speed_tolerance_mps,1e-09,m/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,straight_heading_tolerance_rad,1e-09,rad,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,straight_yaw_rate_tolerance_radps,1e-09,rad/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,steady_steering_tolerance_rad,1e-05,rad,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,steady_yaw_relative_tolerance,0.05,fraction,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,stopped_speed_tolerance_mps,1e-06,m/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,minimum_speed_gain_mps,1.0,m/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
phase2,minimum_restart_speed_mps,1.0,m/s,This study phase 2 implementation,docs/phase2_model.md,predeclared_acceptance_threshold,"Extracted unchanged from the first phase2 bench/audit implementation; numerical or engineering verification tolerance, not a paper parameter.",,
